"","utm_1x1","number_of_species","predicted_abundance","number_of_species_rs","predicted_abundance_rs","host_capacity_rs","number_of_species_nrs","predicted_abundance_nrs","rs_ratio"
"1","EG0066",31,231.13,2,17.56,44.7931610121686,1,2.92,6.01369863013699
"2","EG0067",46,443.89,4,98.56,252.592701927326,4,16.08,6.12935323383085
"3","EG0068",52,462,4,101.52,254.017201927326,4,4.77,21.2830188679245
"4","EG0069",50,486.47,5,101.33,259.085651570183,5,18.57,5.45665051157781
"5","EG0070",45,400.28,5,99.72,258.310839070183,4,4.84,20.603305785124
"6","EG0071",47,413.93,5,100.08,260.085433355897,5,6.21,16.1159420289855
"7","EG0072",53,450.18,5,101.69,260.860245855897,5,17.53,5.80091272104963
"8","EG0073",50,471.77,5,106.62,272.158791222457,5,18.02,5.91675915649279
"9","EG0074",46,467.7,5,104.65,269.609384436743,4,18.41,5.68441064638783
"10","EG0075",45,437.97,5,105.01,271.383978722457,4,18.41,5.70396523628463
"11","EG0076",45,425.54,5,104.65,269.609384436743,4,6.41,16.3260530421217
"12","EG0077",48,490.423463423618,5,106.26,270.384196936743,5,17.97,5.91318864774624
"13","EG0078",47,391.47,5,104.82,270.28431621304,6,67.74,1.54738706820195
"14","EG0079",46,540.79,4,106.45,265.315747293886,6,85.12,1.25058740601504
"15","EG0080",45,471.32,5,107.61,271.033884436743,6,67.3,1.59895988112927
"16","EG0081",45,449.24,4,101.52,254.017201927326,6,20.32,4.99606299212598
"17","EG0082",57,514.85,4,106.45,265.315747293886,5,17.47,6.09330280480824
"18","EG0166",50,514.03,5,99.72,258.310839070183,4,33.24,3
"19","EG0167",53,415.71,4,96.96,250.352701927326,5,16.71,5.80251346499102
"20","EG0168",61,446.61,4,50.33,113.886148835803,4,5.94,8.47306397306397
"21","EG0169",56,462.89,5,104.65,269.609384436743,5,17.53,5.96976611523103
"22","EG0170",51,423.99,5,100.08,260.085433355897,5,6.22,16.0900321543408
"23","EG0171",50,459.58,5,99.72,258.310839070183,5,6.22,16.032154340836
"24","EG0172",53,514.323463423618,4,103.49,263.891247293886,5,35.13,2.94591517221748
"25","EG0173",52,505.493463423618,5,106.26,270.384196936743,5,17.97,5.91318864774624
"26","EG0174",45,382.88,5,104.65,269.609384436743,4,6.41,16.3260530421217
"27","EG0175",39,371.21,5,106.62,272.158791222457,4,18.41,5.79141770776752
"28","EG0176",46,461.64,5,104.65,269.609384436743,5,18.72,5.59027777777778
"29","EG0177",49,519.36,5,107.61,271.033884436743,7,73.59,1.46229107215654
"30","EG0178",46,498.34,5,107.97,272.808478722457,6,86.13,1.25357018460467
"31","EG0179",46,541.87,4,106.45,265.315747293886,7,87.49,1.21671048119785
"32","EG0180",49,548.02,4,106.45,265.315747293886,6,83.78,1.27058963953211
"33","EG0181",43,416.01,4,101.52,254.017201927326,6,20.88,4.86206896551724
"34","EG0182",50,489.7,4,101.52,254.017201927326,4,16.84,6.02850356294537
"35","EG0266",46,517.93,5,106.26,270.384196936743,5,35.13,3.02476515798463
"36","EG0267",49,526.143463423618,5,106.26,270.384196936743,5,35.13,3.02476515798463
"37","EG0268",57,507.98,4,99.92,251.777201927326,4,17.75,5.62929577464789
"38","EG0269",51,478.59,5,106.26,270.384196936743,5,17.28,6.14930555555555
"39","EG0270",50,462.67,5,105.01,271.383978722457,5,18.72,5.60950854700855
"40","EG0271",41,420.33,5,106.62,272.158791222457,4,64.77,1.64613246873553
"41","EG0272",56,461.29,5,106.26,270.384196936743,5,6.22,17.0836012861736
"42","EG0273",52,530.72,5,106.26,270.384196936743,5,35.13,3.02476515798463
"43","EG0274",44,344.85,5,108.4,280.9331740796,4,6.4,16.9375
"44","EG0275",46,372.65,5,108.4,280.9331740796,4,7.1,15.2676056338028
"45","EG0276",43,562.993463423618,5,112.75,285.257941242823,5,81.49,1.38360535034974
"46","EG0277",48,477.91,5,107.61,271.033884436743,6,68.84,1.56319000581058
"47","EG0278",51,540.82,5,107.61,271.033884436743,7,84.91,1.26734189141444
"48","EG0279",49,518.77,5,102.68,259.735339070183,7,68.35,1.50226773957571
"49","EG0280",52,492.76,4,101.52,254.017201927326,6,20.32,4.99606299212598
"50","EG0281",52,572.22,4,101.52,254.017201927326,6,82.67,1.22801499939519
