mun,name,com,longitude,latitude
430017,"Aiguamúrcia",01,1.364278,41.347681
430056,"Alcover",01,1.172103,41.263725
430108,"Alió",01,1.307958,41.295528
430347,"Bràfim",01,1.341747,41.269897
430363,"Cabra del Camp",01,1.277833,41.396408
430593,"Figuerola del Camp",01,1.266492,41.373044
430666,"Garidells, els",01,1.248781,41.208400
430803,"Masó, la",01,1.223886,41.235939
430831,"Milà, el",01,1.208608,41.249214
430897,"Montferri",01,1.366903,41.266431
430918,"Mont-ral",01,1.098869,41.288433
430982,"Nulles",01,1.296892,41.250328
431080,"Pla de Santa Maria, el",01,1.291828,41.364417
431135,"Pont d'Armentera, el",01,1.363369,41.383919
431191,"Puigpelat",01,1.298811,41.279856
431205,"Querol",01,1.399436,41.424958
431248,"Riba, la",01,1.178922,41.319003
431325,"Rodonyà",01,1.398761,41.281739
431346,"Rourell, el",01,1.219122,41.224608
431606,"Vallmoll",01,1.249908,41.244444
431613,"Valls",01,1.252036,41.287711
431652,"Vilabella",01,1.331547,41.248583
431704,"Vila-rodona",01,1.359494,41.312036
170010,"Agullana",02,2.847522,42.395189
170031,"Albanyà",02,2.721244,42.305839
170059,"Far d'Empordà, el",02,2.996364,42.252772
170118,"Armentera, l'",02,3.075972,42.173267
170123,"Avinyonet de Puigventós",02,2.915450,42.250714
170144,"Vajol, la",02,2.800414,42.404572
170160,"Bàscara",02,2.911031,42.161550
170268,"Borrassà",02,2.927300,42.224156
170293,"Boadella i les Escaules",02,2.857083,42.330583
170307,"Cabanes",02,2.976947,42.310408
170314,"Cabanelles",02,2.820650,42.231467
170329,"Cadaqués",02,3.277158,42.290261
170412,"Cantallops",02,2.926158,42.423633
170427,"Capmany",02,2.921356,42.375225
170470,"Castelló d'Empúries",02,3.074864,42.260628
170519,"Cistella",02,2.849342,42.269558
170524,"Siurana",02,2.995156,42.209992
170545,"Colera",02,3.151783,42.404969
170600,"Darnius",02,2.834531,42.368378
170622,"Escala, l'",02,3.134894,42.126156
170643,"Espolla",02,3.001822,42.392364
170669,"Figueres",02,2.962414,42.266500
170741,"Fortià",02,3.039997,42.244208
170754,"Garrigàs",02,2.954886,42.194222
170773,"Garriguella",02,3.057664,42.344392
170865,"Jonquera, la",02,2.875419,42.418861
170887,"Lladó",02,2.814542,42.248794
170926,"Llançà",02,3.152408,42.365919
170932,"Llers",02,2.913267,42.296417
171002,"Masarac",02,2.973592,42.352058
171024,"Maçanet de Cabrenys",02,2.751872,42.387817
171061,"Mollet de Peralada",02,3.001214,42.361067
171117,"Navata",02,2.861867,42.224544
171156,"Ordis",02,2.908525,42.219414
171194,"Palau de Santa Eulàlia",02,2.965494,42.174639
171208,"Palau-saverdera",02,3.150756,42.309636
171289,"Pau",02,3.118008,42.317328
171292,"Pedret i Marzà",02,3.068858,42.312642
171328,"Peralada",02,3.010617,42.309283
171352,"Pont de Molins",02,2.930228,42.315117
171365,"Pontós",02,2.918258,42.187222
171387,"Portbou",02,3.159242,42.427150
171404,"Port de la Selva, el",02,3.206058,42.339269
171432,"Rabós",02,3.028850,42.380428
171518,"Riumors",02,3.042714,42.228222
171523,"Roses",02,3.179439,42.263214
171582,"Sant Climent Sescebes",02,2.981175,42.370072
171714,"Sant Llorenç de la Muga",02,2.790664,42.321475
171753,"Sant Miquel de Fluvià",02,2.992736,42.176444
171766,"Sant Mori",02,2.992133,42.155281
171788,"Sant Pere Pescador",02,3.082953,42.189025
171827,"Santa Llogaia d'Àlguema",02,2.953342,42.234300
171870,"Saus, Camallera i Llampaies",02,2.964917,42.124203
171886,"Selva de Mar, la",02,3.188111,42.325567
171962,"Terrades",02,2.840142,42.311200
171984,"Torroella de Fluvià",02,3.041772,42.175536
172109,"Ventalló",02,3.028031,42.150467
172142,"Vilabertran",02,2.982414,42.284067
172174,"Viladamat",02,3.076228,42.134542
172214,"Vilafant",02,2.938786,42.248028
172229,"Vilaür",02,2.957039,42.144239
172235,"Vilajuïga",02,3.095272,42.327256
172253,"Vilamacolum",02,3.056622,42.196244
172266,"Vilamalla",02,2.971225,42.218769
172272,"Vilamaniscle",02,3.068928,42.376581
172288,"Vilanant",02,2.890289,42.256097
172305,"Vila-sacra",02,3.018794,42.266503
172348,"Biure",02,2.896214,42.339181
080137,"Avinyonet del Penedès",03,1.779014,41.362358
080272,"Cabanyes, les",03,1.690417,41.372392
080581,"Castellet i la Gornal",03,1.593356,41.255458
080654,"Castellví de la Marca",03,1.619889,41.327386
080850,"Font-rubí",03,1.652142,41.414686
080919,"Gelida",03,1.864328,41.442053
080945,"Granada, la",03,1.720356,41.378572
081228,"Mediona",03,1.612483,41.479067
081458,"Olèrdola",03,1.723011,41.320939
081461,"Olesa de Bonesvalls",03,1.850597,41.354439
081542,"Pacs del Penedès",03,1.670956,41.363350
081640,"Pla del Penedès, el",03,1.713447,41.419000
081688,"Pontons",03,1.517789,41.416864
081748,"Puigdàlber",03,1.701583,41.405467
082068,"Sant Cugat Sesgarrigues",03,1.754242,41.365525
082227,"Sant Llorenç d'Hortons",03,1.825572,41.468983
082270,"Sant Martí Sarroca",03,1.612111,41.386442
082325,"Sant Pere de Riudebitlles",03,1.702489,41.454319
082362,"Sant Quintí de Mediona",03,1.664967,41.463753
082401,"Sant Sadurní d'Anoia",03,1.788461,41.425336
082495,"Santa Fe del Penedès",03,1.721775,41.386100
082515,"Santa Margarida i els Monjos",03,1.664894,41.322378
082732,"Subirats",03,1.798081,41.383881
082877,"Torrelavit",03,1.730111,41.448747
082883,"Torrelles de Foix",03,1.570731,41.389214
083041,"Vilobí del Penedès",03,1.662561,41.389725
083054,"Vilafranca del Penedès",03,1.701406,41.346547
250058,"Alàs i Cerc",04,1.509350,42.352728
250306,"Pont de Bar, el",04,1.606325,42.373308
250328,"Arsèguel",04,1.584050,42.351197
250447,"Bassella",04,1.295650,42.006317
250616,"Cabó",04,1.248722,42.239625
250714,"Cava",04,1.585578,42.326453
250772,"Coll de Nargó",04,1.317400,42.174911
250886,"Estamariu",04,1.524014,42.374531
251403,"Montferrer i Castellbò",04,1.429178,42.342200
