mun,tourist_facilities,year,f_tourist_acc,f_tourist_beds
080018,Campsites,2003,0,0
080018,Campsites,2004,0,0
080018,Campsites,2005,0,0
080018,Campsites,2006,0,0
080018,Campsites,2007,0,0
080018,Campsites,2008,0,0
080018,Campsites,2009,0,0
080018,Campsites,2010,0,0
080018,Campsites,2011,0,0
080018,Campsites,2012,0,0
080018,Campsites,2013,0,0
080018,Campsites,2014,0,0
080018,Campsites,2015,0,0
080018,Campsites,2016,0,0
080018,Campsites,2017,0,0
080018,Campsites,2018,0,0
080018,Campsites,2019,0,0
080018,Campsites,2020,0,0
080018,Campsites,2021,0,0
080018,Campsites,2022,0,0
080018,Hotels,2003,2,54
080018,Hotels,2004,2,54
080018,Hotels,2005,2,54
080018,Hotels,2006,2,54
080018,Hotels,2007,2,54
080018,Hotels,2008,2,54
080018,Hotels,2009,2,54
080018,Hotels,2010,2,70
080018,Hotels,2011,2,70
080018,Hotels,2012,2,70
080018,Hotels,2013,1,39
080018,Hotels,2014,1,39
080018,Hotels,2015,1,39
080018,Hotels,2016,1,39
080018,Hotels,2017,1,39
080018,Hotels,2018,1,39
080018,Hotels,2019,1,39
080018,Hotels,2020,1,39
080018,Hotels,2021,1,39
080018,Hotels,2022,1,39
080018,Rural tourism,2007,0,0
080018,Rural tourism,2008,0,0
080018,Rural tourism,2009,0,0
080018,Rural tourism,2010,0,0
080018,Rural tourism,2011,0,0
080018,Rural tourism,2012,0,0
080018,Rural tourism,2013,0,0
080018,Rural tourism,2014,0,0
080018,Rural tourism,2015,0,0
080018,Rural tourism,2016,0,0
080018,Rural tourism,2017,0,0
080018,Rural tourism,2018,0,0
080018,Rural tourism,2019,0,0
080018,Rural tourism,2020,0,0
080018,Rural tourism,2021,0,0
080018,Rural tourism,2022,0,0
080023,Campsites,2003,0,0
080023,Campsites,2004,0,0
080023,Campsites,2005,0,0
080023,Campsites,2006,0,0
080023,Campsites,2007,0,0
080023,Campsites,2008,0,0
080023,Campsites,2009,0,0
080023,Campsites,2010,0,0
080023,Campsites,2011,0,0
080023,Campsites,2012,0,0
080023,Campsites,2013,0,0
080023,Campsites,2014,0,0
080023,Campsites,2015,0,0
080023,Campsites,2016,0,0
080023,Campsites,2017,0,0
080023,Campsites,2018,0,0
080023,Campsites,2019,0,0
080023,Campsites,2020,0,0
080023,Campsites,2021,0,0
080023,Campsites,2022,0,0
080023,Hotels,2003,0,0
080023,Hotels,2004,0,0
080023,Hotels,2005,0,0
080023,Hotels,2006,0,0
080023,Hotels,2007,0,0
080023,Hotels,2008,0,0
080023,Hotels,2009,0,0
080023,Hotels,2010,0,0
080023,Hotels,2011,0,0
080023,Hotels,2012,0,0
080023,Hotels,2013,0,0
080023,Hotels,2014,0,0
080023,Hotels,2015,0,0
080023,Hotels,2016,0,0
080023,Hotels,2017,0,0
080023,Hotels,2018,0,0
080023,Hotels,2019,0,0
080023,Hotels,2020,0,0
080023,Hotels,2021,0,0
080023,Hotels,2022,0,0
080023,Rural tourism,2007,2,9
080023,Rural tourism,2008,2,9
080023,Rural tourism,2009,2,9
080023,Rural tourism,2010,2,9
