trap_name,DN,area
A_SP_CdE_2,"20",8.088
A_SP_CdE_2,"19",100.000
A_SP_CdE_2,"10",1700.000
A_SP_CdE_2,"14",1900.000
A_SP_CdE_2,"17",3320.678
A_SP_CdE_2,"19",2800.000
A_SP_CdE_2,"20",300.000
A_SP_CdE_2,"7",3200.000
A_SP_CdE_2,"10",2200.000
A_SP_CdE_2,"17",94.614
A_SP_CdE_2,"5",2400.000
A_SP_CdE_2,"17",800.000
A_SP_CdE_2,"24",900.000
A_SP_CdE_2,"17",300.000
A_SP_CdE_2,"19",86573.342
A_SP_CdE_2,"20",86538.899
A_SP_CdE_3,"20",199.733
A_SP_CdE_3,"20",1529.093
A_SP_CdE_3,"20",121.269
A_SP_CdE_3,"20",19200.000
A_SP_CdE_3,"19",30047.515
A_SP_CdE_3,"5",2400.000
A_SP_CdE_3,"7",500.000
A_SP_CdE_3,"20",100.000
A_SP_CdE_3,"20",100.000
A_SP_CdE_3,"19",1500.000
A_SP_CdE_3,"19",96.064
A_SP_CdE_3,"19",9.270
A_SP_CdE_3,"19",10857.435
A_SP_CdE_3,"19",29313.999
A_SP_CdE_3,"20",97161.242
A_SP_CdE_4,"14",1100.000
A_SP_CdE_4,"5",500.000
A_SP_CdE_4,"19",100.000
A_SP_CdE_4,"15",1700.000
A_SP_CdE_4,"9",1300.000
A_SP_CdE_4,"5",3000.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"19",100.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"10",1100.000
A_SP_CdE_4,"2",4700.000
A_SP_CdE_4,"7",9400.000
A_SP_CdE_4,"9",2800.000
A_SP_CdE_4,"5",1300.000
A_SP_CdE_4,"19",3803.023
A_SP_CdE_4,"19",15900.000
A_SP_CdE_4,"20",200.000
A_SP_CdE_4,"19",2090.595
A_SP_CdE_4,"21",9034.036
A_SP_CdE_4,"20",134707.967
A_SP_CdE_5,"19",11500.142
A_SP_CdE_5,"19",100.000
A_SP_CdE_5,"19",12322.197
A_SP_CdE_5,"7",1600.000
A_SP_CdE_5,"5",68819.292
A_SP_CdE_5,"20",98591.390
A_SP_CdE_5,"5",202.601
A_SP_CdE_6,"15",255.461
A_SP_CdE_6,"15",85.342
A_SP_CdE_6,"10",1037.370
A_SP_CdE_6,"10",200.000
A_SP_CdE_6,"10",25.982
A_SP_CdE_6,"15",2876.598
A_SP_CdE_6,"14",122.085
A_SP_CdE_6,"15",1100.000
A_SP_CdE_6,"10",253.176
A_SP_CdE_6,"10",122.085
A_SP_CdE_6,"15",1100.000
A_SP_CdE_6,"10",253.176
A_SP_CdE_6,"15",2.881
A_SP_CdE_6,"15",91.207
A_SP_CdE_6,"14",3972.257
A_SP_CdE_6,"15",2600.000
A_SP_CdE_6,"20",3200.000
A_SP_CdE_6,"20",4772.177
A_SP_CdE_6,"16",2600.000
A_SP_CdE_6,"20",397.486
A_SP_CdE_6,"9",900.000
A_SP_CdE_6,"14",163.215
A_SP_CdE_6,"20",45991.048
A_SP_CdE_6,"10",121014.077
A_SP_CdE_7,"14",97.228
A_SP_CdE_7,"2",12738.669
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"14",98.550
A_SP_CdE_7,"17",1502.150
A_SP_CdE_7,"17",200.000
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"17",23738.017
A_SP_CdE_7,"15",900.000
A_SP_CdE_7,"17",1010.506
A_SP_CdE_7,"10",138710.231
A_SP_CdE_7,"20",13840.270
A_SP_CE_0,"4",179.294
A_SP_CE_0,"20",580.289
A_SP_CE_0,"4",572.559
A_SP_CE_0,"5",100.000
A_SP_CE_0,"23",100.000
A_SP_CE_0,"17",100.000
A_SP_CE_0,"5",100.000
A_SP_CE_0,"6",11054.893
A_SP_CE_0,"19",985.365
A_SP_CE_0,"23",1680.177
A_SP_CE_0,"7",500.000
A_SP_CE_0,"9",199.821
A_SP_CE_0,"17",200.000
A_SP_CE_0,"5",0.073
A_SP_CE_0,"5",100.000
A_SP_CE_0,"17",300.000
