UTM1X1,DN,area
EG0082,"17","100"
EG0082,"19","3603"
EG0082,"19","901"
EG0082,"20","500"
EG0082,"20","100"
EG0082,"19","3303"
EG0082,"20","200"
EG0082,"4","1001"
EG0082,"4","100"
EG0082,"7","100"
EG0082,"17","1201"
EG0082,"5","701"
EG0082,"4","801"
EG0082,"4","200"
EG0082,"7","2002"
EG0082,"19","1601"
EG0082,"19","7079"
EG0082,"19","24119"
EG0082,"19","32826"
EG0082,"16","792"
EG0082,"16","801"
EG0082,"17","100"
EG0082,"16","100"
EG0082,"17","300"
EG0082,"16","400"
EG0082,"17","1447"
EG0082,"20","400"
EG0082,"16","100"
EG0082,"16","100"
EG0082,"15","2102"
EG0082,"15","100"
EG0082,"16","300"
EG0082,"16","8707"
EG0082,"15","200"
EG0082,"15","100"
EG0082,"16","100"
EG0082,"20","100"
EG0082,"20","100"
EG0082,"19","100"
EG0082,"20","100"
EG0082,"19","100"
EG0082,"19","34983"
EG0082,"20","580723"
EG0082,"20","300"
EG0082,"14","1501"
EG0082,"17","47638"
EG0082,"17","1110"
EG0082,"20","100"
EG0082,"17","1401"
EG0082,"20","100"
EG0082,"20","297"
EG0082,"17","300"
EG0082,"5","497"
EG0082,"17","48"
EG0082,"19","5249"
EG0082,"19","12337"
EG0082,"17","145"
EG0082,"7","2087"
EG0082,"17","145"
EG0082,"20","206857"
EG0182,"17","100"
EG0182,"2","100"
EG0182,"20","300"
EG0182,"17","100"
EG0182,"2","100"
EG0182,"17","300"
EG0182,"2","100"
EG0182,"17","400"
EG0182,"2","400"
EG0182,"16","1701"
EG0182,"17","200"
EG0182,"7","5104"
EG0182,"2","500"
EG0182,"17","200"
EG0182,"17","100"
EG0182,"2","200"
EG0182,"17","200"
EG0182,"16","1101"
EG0182,"16","100"
EG0182,"16","100"
EG0182,"7","4896"
EG0182,"16","2402"
EG0182,"17","1201"
EG0182,"2","400"
EG0182,"17","701"
EG0182,"17","100"
EG0182,"16","100"
EG0182,"2","701"
EG0182,"17","100"
EG0182,"17","100"
EG0182,"2","200"
EG0182,"17","100"
EG0182,"17","901"
EG0182,"17","1601"
EG0182,"17","500"
EG0182,"16","500"
EG0182,"16","100"
EG0182,"16","100"
EG0182,"17","100"
EG0182,"16","24019"
EG0182,"17","100"
EG0182,"16","100"
EG0182,"17","100"
EG0182,"16","100"
EG0182,"14","1201"
EG0182,"19","5030"
EG0182,"19","6419"
EG0182,"17","100"
EG0182,"16","200"
EG0182,"14","100"
EG0182,"17","4704"
EG0182,"14","500"
EG0182,"17","600"
EG0182,"14","600"
EG0182,"2","100"
EG0182,"2","200"
EG0182,"17","100"
EG0182,"20","97748"
EG0182,"17","31625"
EG0182,"16","7515"
EG0182,"2","1601"
EG0182,"17","100"
EG0182,"19","6405"
EG0182,"10","600"
EG0182,"4","73"
EG0182,"17","255"
EG0182,"4","400"
EG0182,"10","246"
EG0182,"17","2302"
EG0182,"10","400"
EG0182,"4","373"
